y(px)	x(px)	width(px)	intensity(arb.unit)
532.30304	47.909092	5.7445626	0.39089012
546.9	47.8	5.477226	0.37731776
561.2917	48.0	4.8989797	0.33820683
575.9091	48.090908	4.690416	0.3282928
590.1429	48.333332	4.582576	0.32768574
634.04346	48.391304	4.7958317	0.32454327
648.5	48.5	4.8989797	0.3205617
663.5	48.22222	4.2426405	0.31362855
678.0	48.5	4.690416	0.3202951
706.95654	48.608696	4.7958317	0.32933992
750.5	48.5	5.2915025	0.32603663
765.04	48.6	5.0	0.32637143
779.9524	48.190475	4.582576	0.32395512
794.5217	48.608696	4.7958317	0.33018637
808.86365	48.545456	4.690416	0.32929373
1112.1936	49.225807	5.5677643	0.30621225
1126.625	49.15625	5.656854	0.30690512
1140.8064	49.225807	5.5677643	0.31594968
1155.0	49.206898	5.3851647	0.3103705
1169.5	49.125	5.656854	0.30960506
1183.7812	48.875	5.656854	0.317194
1198.1936	48.774193	5.5677643	0.31777906
1212.3667	48.633335	5.477226	0.31544313
1226.7097	48.70968	5.5677643	0.32027763
1241.1034	48.689655	5.3851647	0.3185789
1255.64	48.76	5.0	0.31892866
604.8823	48.411766	4.1231055	0.31976253
619.5	48.5	4.0	0.31873694
692.2105	48.736843	4.358899	0.3216009
721.3	48.9	4.472136	0.32350984
735.9091	48.909092	4.690416	0.32544497
823.0909	48.909092	4.690416	0.3317676
837.9167	48.916668	4.8989797	0.33349234
852.2917	49.0	4.8989797	0.33152094
867.0	49.173912	4.7958317	0.3309165
881.2727	49.045456	4.690416	0.33340982
896.0	49.0	4.582576	0.32840714
910.0909	49.090908	4.690416	0.3342644
925.0	49.0	4.582576	0.33459204
939.6667	49.142857	4.582576	0.32604197
954.0909	49.090908	4.690416	0.3250063
968.9259	49.407406	5.196152	0.31327742
983.2759	49.58621	5.3851647	0.2890569
997.5	49.5	5.656854	0.29974934
1011.8	49.5	5.477226	0.29609677
1026.4193	49.548386	5.5677643	0.29977852
1040.5	49.5	5.656854	0.30050603
1055.1562	49.40625	5.656854	0.30746785
1069.4242	49.424244	5.7445626	0.3068442
1083.5	49.5	5.656854	0.30766124
1097.6333	49.366665	5.477226	0.30665827
191.71875	62.1875	5.656854	0.3894636
221.51515	62.39394	5.7445626	0.38757998
236.28125	62.1875	5.656854	0.3943035
251.18182	62.18182	5.7445626	0.3935707
266.18182	62.18182	5.7445626	0.3943796
281.0	62.242424	5.7445626	0.39490914
295.71875	62.1875	5.656854	0.39485618
310.51514	62.39394	5.7445626	0.39185196
355.09375	62.21875	5.656854	0.38971436
369.58823	62.32353	5.8309517	0.38419208
384.5	62.294117	5.8309517	0.38940305
399.28125	62.1875	5.656854	0.3867032
13.5	62.5	5.656854	0.38261816
28.5	62.5	5.656854	0.37193772
43.5	62.5	5.656854	0.37595156
58.424244	62.575756	5.7445626	0.3770181
73.333336	62.5	5.477226	0.382523
88.0	62.5	5.8309517	0.3738329
102.5	62.5	5.656854	0.3749683
117.5	62.5	5.656854	0.38250393
132.5	62.5	5.656854	0.38641453
147.5	62.5	5.656854	0.38406622
162.41936	62.451614	5.5677643	0.3946025
176.93939	62.424244	5.7445626	0.39429045
206.57576	62.424244	5.7445626	0.38472164
325.5	62.5	5.656854	0.39342287
340.2903	62.29032	5.5677643	0.39081076
414.0	62.34375	5.656854	0.39159602
428.5	62.5	5.656854	0.39226353
443.5	62.5	5.656854	0.39451307
458.2	62.333332	5.477226	0.38010287
472.9394	62.424244	5.7445626	0.3793193
487.74194	62.580647	5.5677643	0.37924263
502.58066	62.548386	5.5677643	0.38135922
517.5	62.5	5.656854	0.3918289
532.5	62.5	5.656854	0.3897573
547.25806	62.580647	5.5677643	0.37601984
561.5	62.785713	5.2915025	0.33904153
575.95654	62.608696	4.7958317	0.3306271
1241.303	63.090908	5.7445626	0.32545638
590.5455	62.863636	4.690416	0.33031046
605.0	63.0	4.582576	0.32334614
619.5789	63.105263	4.358899	0.32075712
634.0909	62.909092	4.690416	0.32450446
648.9091	63.090908	4.690416	0.3218575
663.7273	62.954544	4.690416	0.3183897
678.0	63.173912	4.7958317	0.32293478
692.3333	63.142857	4.582576	0.3256866
707.0	63.0	4.7958317	0.33254623
721.6818	63.18182	4.690416	0.32832134
736.04346	63.391304	4.7958317	0.32653484
750.9091	63.090908	4.690416	0.3285007
765.2	63.08	5.0	0.32494304
779.9091	63.090908	4.690416	0.3235921
794.9091	63.090908	4.690416	0.32890263
808.9524	63.190475	4.582576	0.32910395
838.04	63.6	5.0	0.33089817
852.5	63.692307	5.0990195	0.33056504
881.73914	63.565216	4.7958317	0.3345741
983.4138	63.724136	5.3851647	0.2965386
997.69696	64.09091	5.7445626	0.3055515
1012.1	63.8	5.477226	0.30316174
1026.5	64.0	5.656854	0.30417696
1040.7188	63.8125	5.656854	0.3067967
1055.2812	63.8125	5.656854	0.31172794
1069.5151	63.60606	5.7445626	0.3107351
1083.7188	63.8125	5.656854	0.31373054
1098.1	63.8	5.477226	0.31269377
1112.5	63.5	5.656854	0.3118098
1126.742	63.580647	5.5677643	0.31222236
1141.3334	63.5	5.477226	0.3225851
1155.4193	63.548386	5.5677643	0.31421745
1169.5807	63.548386	5.5677643	0.31602746
1184.069	63.41379	5.3851647	0.3231891
1198.5	63.5	5.656854	0.32226196
1212.6333	63.366665	5.477226	0.32237473
1227.2	63.333332	5.477226	0.3268796
1256.0	63.173912	4.7958317	0.3288941
823.2105	63.63158	4.358899	0.32904243
867.0	63.826088	4.7958317	0.3287291
896.0909	63.909092	4.690416	0.3308714
910.75	63.75	4.472136	0.3343431
925.25	63.75	4.472136	0.33630654
939.9091	63.909092	4.690416	0.33089727
954.2917	64.0	4.8989797	0.3319935
969.0	64.0	5.0	0.31972143
1.4166666	77.0	3.4641016	0.3287478
28.71875	77.1875	5.656854	0.3766891
43.588234	77.32353	5.8309517	0.3776624
58.424244	77.242424	5.7445626	0.3737498
73.30303	77.09091	5.7445626	0.3823136
88.20588	77.088234	5.8309517	0.37593022
102.69697	77.09091	5.7445626	0.3773237
117.73529	77.0	5.8309517	0.38396776
132.57576	77.06061	5.7445626	0.38635135
147.30302	77.09091	5.7445626	0.38949513
162.34375	77.0	5.656854	0.39586285
177.14706	76.911766	5.8309517	0.39743757
192.18182	76.818184	5.7445626	0.3922532
206.79411	76.911766	5.8309517	0.3878916
221.71875	76.8125	5.656854	0.38784254
236.48485	76.606064	5.7445626	0.39169922
251.42424	76.57576	5.7445626	0.39071643
266.42426	76.57576	5.7445626	0.3915216
281.33334	76.72727	5.7445626	0.39527434
296.0	76.757576	5.7445626	0.39665875
310.7097	76.70968	5.5677643	0.3932427
325.71875	76.8125	5.656854	0.3963461
340.42856	76.77143	5.91608	0.39058587
355.28125	76.8125	5.656854	0.39130062
369.71875	76.8125	5.656854	0.38598192
384.7097	76.70968	5.5677643	0.3902989
399.5	76.5	5.656854	0.38632876
414.30304	76.90909	5.7445626	0.39577124
428.71875	76.8125	5.656854	0.39936233
443.69696	76.90909	5.7445626	0.39957136
458.41177	76.67647	5.8309517	0.38352498
473.30304	76.90909	5.7445626	0.38589257
488.30304	76.90909	5.7445626	0.3853775
502.91177	77.02941	5.8309517	0.38648796
517.69696	76.90909	5.7445626	0.3977359
532.4706	76.85294	5.8309517	0.39433852
547.129	77.09677	5.5677643	0.3766668
13.65625	77.375	5.656854	0.38458517
561.6667	77.14286	4.582576	0.33572257
575.8421	77.1579	4.358899	0.32816344
590.5	77.22222	4.2426405	0.3291277
634.1905	77.14286	4.582576	0.32429653
648.75	77.25	4.472136	0.32353243
663.7895	77.36842	4.358899	0.31954643
707.0	77.36842	4.358899	0.33219764
750.875	77.333336	4.8989797	0.32767844
765.125	77.666664	4.8989797	0.32734174
779.9524	77.190475	4.582576	0.32746825
794.86365	77.545456	4.690416	0.3311935
1112.5807	78.064514	5.5677643	0.31434053
1127.0646	78.09677	5.5677643	0.31553724
1141.3438	78.0	5.656854	0.32401168
1155.4193	77.935486	5.5677643	0.3146277
1169.9667	77.9	5.477226	0.31604543
1184.303	77.90909	5.7445626	0.32186216
1198.6562	77.625	5.656854	0.32172766
1213.0	77.67857	5.2915025	0.31784335
1227.3667	77.63333	5.477226	0.3216824
1241.5	77.5	5.656854	0.31872964
1256.2	77.24	5.0	0.32452616
605.0	77.5	3.4641016	0.32061633
619.7143	77.5	3.7416575	0.31702456
678.1053	77.57895	4.358899	0.32405746
692.5	77.5	4.0	0.3285091
721.4211	77.89474	4.358899	0.33056957
736.0476	77.809525	4.582576	0.32900792
809.0909	77.90909	4.690416	0.3306633
823.3182	77.954544	4.690416	0.33232027
838.0909	77.90909	4.690416	0.33424848
852.6	78.04	5.0	0.33339202
867.0	78.17391	4.7958317	0.32734668
881.7083	78.0	4.8989797	0.33712494
896.0	78.0	4.582576	0.33086133
910.5	78.0	4.0	0.32990196
925.5	78.0	4.0	0.33126935
939.8889	78.27778	4.2426405	0.32867786
954.2381	78.61905	4.582576	0.33186293
969.04	78.4	5.0	0.32209116
983.7241	78.413795	5.3851647	0.29916295
998.0333	78.6	5.477226	0.31116325
1012.3333	78.5	5.477226	0.306345
1026.5	78.5	5.656854	0.30762407
1040.8966	78.48276	5.3851647	0.30899358
1055.5	78.5	5.656854	0.31397644
1069.6333	78.36667	5.477226	0.31434444
1083.8	78.333336	5.477226	0.31815845
1098.3438	78.375	5.656854	0.31631988
1.3636364	91.818184	3.3166249	0.3104902
13.96875	91.90625	5.656854	0.37306735
29.0	91.818184	5.7445626	0.3675514
43.696968	91.90909	5.7445626	0.3682196
58.625	91.84375	5.656854	0.3612624
73.5	91.5	5.656854	0.37237197
88.42424	91.57576	5.7445626	0.3703739
103.09677	91.67742	5.5677643	0.37221768
118.0	91.65625	5.656854	0.38189614
132.58064	91.548386	5.5677643	0.38179868
147.5	91.5	5.656854	0.3844965
162.5	91.5	5.656854	0.38924703
177.5	91.5	5.656854	0.39213875
192.5	91.5	5.656854	0.39181754
207.15625	91.59375	5.656854	0.38856167
221.74193	91.41936	5.5677643	0.38895923
236.5	91.5	5.656854	0.38801897
251.5	91.5	5.656854	0.38934705
266.5	91.5	5.656854	0.3871757
281.5	91.5	5.656854	0.39125976
296.2	91.333336	5.477226	0.39601377
311.0	91.34375	5.656854	0.3968483
325.65625	91.375	5.656854	0.4016286
340.5	91.5	5.656854	0.39227608
355.5	91.5	5.656854	0.39474505
370.09677	91.32258	5.5677643	0.39145648
384.7097	91.29032	5.5677643	0.39788634
399.5	91.5	5.656854	0.39235717
414.5	91.5	5.656854	0.3996085
429.2	91.333336	5.477226	0.40382382
443.5	91.5	5.656854	0.40517846
458.5	91.5	5.656854	0.38881874
473.5	91.5	5.656854	0.38896078
488.5	91.5	5.656854	0.39131546
503.15625	91.59375	5.656854	0.38952824
517.74194	91.41936	5.5677643	0.39830792
532.5	91.5	5.656854	0.39740333
